jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,freq_atm,freq_internet_bank,freq_mobile_bank,freq_sms_bank,freq_cabang,fitur_cekSaldo,fitur_mutasi,fitur_transfer_sesamabank,fitur_transfer_antarbank,fitur_pulsa,fitur_tagihan,keluhan_1,keluhan_2,keluhan3
Pria,47.0,SMA,Pekerja Serabutan,Rp 2 juta – Rp 5 juta,bandung,3.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,surabaya,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,50.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,28.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,bandung,9.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bekasi,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,pontianak,6.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,purwokerto,20.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,28.0,D3,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,34.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,14.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,D1,Pegawai ,< Rp 2 juta,purworejo,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,20.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,49.0,SMA,Ibu Rumah Tangga,Rp 5 juta – Rp 10 juta,cilegon,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,35.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,lampung,12.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,22.0,S1,Asisten Riset ,< Rp 2 juta,jakarta,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,24.0,S2,Pegawai Negeri,Rp 2 juta – Rp 5 juta,bandung,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,22.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,medan,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,5.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,44.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,7.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,hsinchu,5.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,53.0,S2,Pegawai Negeri,Rp 5 juta – Rp 10 juta,magetan,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,21.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bogor,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,50.0,S1,Ibu Rumah Tangga,Rp 5 juta – Rp 10 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,26.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,57.0,SMA,Profesional,Rp 5 juta – Rp 10 juta,jakarta,3.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,58.0,S2,Pensiunan,Rp 5 juta – Rp 10 juta,bandung,10.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,36.0,S1,Karyawan Swasta,> Rp 10 juta,medan,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,46.0,S1,Karyawan Swasta,> Rp 10 juta,bandung,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,8.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,6.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,47.0,D3,Karyawan Swasta,> Rp 10 juta,singapura,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,46.0,S1,Pegawai Negeri,Rp 5 juta – Rp 10 juta,majalengka,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,35.0,S1,Karyawan Swasta,> Rp 10 juta,bekasi,16.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,40.0,S1,Ibu Rumah Tangga,< Rp 2 juta,bandung,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,49.0,D3,Ibu Rumah Tangga,Rp 2 juta – Rp 5 juta,bandung,3.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,16.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,21.0,SMA,Karyawan Swasta,> Rp 10 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,22.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,medan,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,SMA,karyawan & mahasiswa,Rp 2 juta – Rp 5 juta,pontianak,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,54.0,S1,Karyawan Swasta,> Rp 10 juta,balikpapan,24.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,50.0,S2,Guru,> Rp 10 juta,tangerang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,7.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,3.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,tangerang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,> Rp 10 juta,jakarta,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
